-1 -1,755 90,805 180,-1 -1,790 180,760 250,710 300,660 350,615 405,515 405,410 485,375 585,390 655,330 645,215 660,100 755,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,$
-1 -1,755 75,795 170,-1 -1,-1 -1,770 240,720 290,670 340,625 400,525 400,415 475,375 575,385 650,345 640,225 650,120 740,105 760,-1 -1,-1 -1,-1 -1,-1 -1,$
-1 -1,760 60,785 160,-1 -1,-1 -1,780 230,730 280,680 330,635 390,540 400,415 460,380 565,380 640,360 635,235 640,140 725,135 770,-1 -1,-1 -1,-1 -1,$
-1 -1,760 45,775 150,-1 -1,-1 -1,785 220,740 270,690 320,645 380,555 400,420 445,385 555,380 630,370 620,245 630,160 710,155 780,-1 -1,-1 -1,-1 -1,185 765,$
-1 -1,765 30,765 140,-1 -1,-1 -1,790 210,750 260,700 310,655 370,570 405,425 430,385 545,380 620,370 610,255 620,180 695,155 710,-1 -1,-1 -1,-1 -1,$
-1 -1,765 15,760 130,-1 -1,-1 -1,790 200,760 250,710 300,660 360,585 405,445 425,385 535,375 610,370 600,265 610,200 680,-1 -1,-1 -1,-1 -1,$
-1 -1,825 75,825 165,-1 -1,890 215,945 300,930 365,830 450,745 560,670 645,-1 -1,675 585,-1 -1,740 555,745 415,700 320,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,705 310,665 365,590 430,550 460,-1 -1,650 380,720 325,700 320,-1 -1,
590 680,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,645 675,665 665,-1 -1,695 575,-1 -1,-1 -1,680 575,660 665,340 650,225 705,-1 -1,155 750,110 735,-1 -1,-1 -1,-1 -1,-1 -1,240 665,380 626,450 540,580 430,695 360,675 325,-1 -1,
600 705,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,655 680,660 660,-1 -1,695 580,-1 -1,-1 -1,600 700,475 690,335 675,220 705,-1 -1,155 720,125 740,-1 -1,-1 -1,-1 -1,-1 -1,250 685,350 635,365 590,530 450,645 375,695 335,-1 -1,
615 690,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,630 680,655 655,-1 -1,690 585,-1 -1,-1 -1,680 590,585 680,360 640,235 690,-1 -1,165 720,130 740,155 710,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
630 700,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,660 690,650 650,-1 -1,690 590,-1 -1,-1 -1,690 670,-1 -1,380 625,235 705,-1 -1,170 710,115 730,-1 -1,-1 -1,-1 -1,-1 -1,255 680,375 605,410 585,545 450,640 380,665 310,-1 -1,
560 765,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,630 725,690 690,730 660,690 595,-1 -1,-1 -1,515 690,390 655,370 645,230 660,-1 -1,175 705,140 710,205 680,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
540 775,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,615 730,680 690,725 665,685 600,-1 -1,-1 -1,755 575,560 665,375 665,230 700,-1 -1,155 700,160 715,165 730,-1 -1,-1 -1,-1 -1,220 695,390 580,520 520,565 385,635 335,650 315,-1 -1,
525 760,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,615 740,695 695,720 675,685 605,-1 -1,695 605,680 655,-1 -1,385 660,225 710,-1 -1,150 705,190 670,-1 -1,-1 -1,-1 -1,-1 -1,240 645,315 600,470 470,555 360,620 300,675 295,-1 -1,
540 740,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,600 735,705 690,715 680,680 610,-1 -1,715 560,730 435,700 615,430 665,300 665,210 690,145 710,75 745,-1 -1,145 760,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
560 740,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,590 730,705 700,700 690,670 630,570 660,720 575,750 460,705 620,455 650,320 660,215 690,170 700,85 740,-1 -1,95 745,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
545 645,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,580 650,640 645,-1 -1,705 605,695 655,735 575,790 500,720 610,495 665,360 645,220 680,185 690,135 770,-1 -1,-1 -1,-1 -1,-1 -1,185 720,315 685,435 605,625 465,715 375,785 320,-1 -1,
535 630,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,575 665,650 660,-1 -1,695 575,695 630,720 590,770 500,735 585,500 675,380 660,200 660,205 700,140 770,-1 -1,-1 -1,-1 -1,-1 -1,175 725,295 700,420 615,600 515,700 380,750 355,770 330,
530 655,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,560 655,660 670,-1 -1,670 645,555 655,750 580,745 430,740 390,695 630,470 655,285 665,200 680,130 780,-1 -1,-1 -1,-1 -1,-1 -1,155 725,245 690,380 635,560 530,675 425,725 350,-1 -1,
510 655,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,555 660,635 655,-1 -1,680 655,600 675,730 545,760 430,735 400,660 650,495 665,300 675,205 685,155 765,-1 -1,-1 -1,-1 -1,-1 -1,135 735,235 695,370 650,540 550,650 420,740 350,-1 -1,
505 640,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,600 665,660 665,-1 -1,575 655,440 650,390 645,345 640,285 665,240 695,-1 -1,-1 -1,-1 -1,200 755,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
520 635,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,555 650,665 670,-1 -1,560 665,435 655,380 660,340 655,300 670,240 685,-1 -1,-1 -1,-1 -1,200 745,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
435 780,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,410 755,340 735,-1 -1,-1 -1,210 800,70 785,85 775,70 785,85 775,85 760,100 760,-1 -1,160 715,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
460 795,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,395 780,330 740,-1 -1,-1 -1,220 795,80 790,-1 -1,-1 -1,-1 -1,90 770,-1 -1,95 765,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
480 775,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,510 755,470 730,440 665,-1 -1,-1 -1,240 775,95 790,-1 -1,-1 -1,-1 -1,100 775,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
445 755,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,450 730,415 680,385 695,330 690,185 805,110 795,-1 -1,-1 -1,-1 -1,105 775,125 740,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
470 750,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,410 740,380 730,-1 -1,-1 -1,175 810,120 800,120 780,120 800,120 780,120 780,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
430 705,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,495 690,-1 -1,430 660,-1 -1,-1 -1,150 810,130 805,-1 -1,-1 -1,-1 -1,115 775,-1 -1,160 785,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
450 700,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,475 700,-1 -1,425 665,-1 -1,-1 -1,120 810,140 810,-1 -1,-1 -1,-1 -1,90 780,105 770,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
430 685,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,470 670,-1 -1,-1 -1,130 825,150 805,145 795,150 805,145 795,105 785,115 770,-1 -1,150 725,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
455 680,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,415 675,-1 -1,375 665,305 775,160 815,-1 -1,-1 -1,-1 -1,125 780,120 770,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
445 670,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,420 675,-1 -1,-1 -1,280 735,175 810,170 800,175 810,170 800,145 705,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
390 775,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,380 730,-1 -1,-1 -1,-1 -1,-1 -1,210 775,220 800,190 800,-1 -1,-1 -1,170 735,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
360 770,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,370 725,-1 -1,-1 -1,-1 -1,-1 -1,155 820,115 815,-1 -1,-1 -1,-1 -1,165 745,185 755,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
350 760,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,350 730,-1 -1,-1 -1,-1 -1,-1 -1,120 815,145 825,-1 -1,-1 -1,-1 -1,165 755,-1 -1,-1 -1,200 690,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
375 760,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,340 740,-1 -1,-1 -1,-1 -1,320 710,135 825,80 795,-1 -1,-1 -1,-1 -1,165 765,-1 -1,-1 -1,190 680,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
365 745,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,360 750,375 730,-1 -1,315 710,315 685,175 800,150 835,150 810,-1 -1,-1 -1,175 780,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
385 745,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,380 750,365 730,-1 -1,330 700,335 680,150 805,125 825,120 805,-1 -1,-1 -1,180 790,190 780,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
640 670,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,655 670,670 670,-1 -1,690 595,-1 -1,720 585,675 645,470 665,300 650,220 660,210 665,165 700,120 745,-1 -1,160 720,-1 -1,-1 -1,265 665,395 560,510 510,615 415,665 350,685 330,-1 -1,
460 770,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,520 730,470 725,410 675,375 660,305 700,160 820,135 800,140 780,135 800,140 780,115 760,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,-1 -1,
